# MODIS Terra GEOGRAPHIC METADATA TEXT FILE day 2022-07-25
# NFiles = 119, max geo IngestTime = 2022-07-25 15:22:08.311176
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MOD03.A2022206.0000.061.2022206130739.hdf,2022-07-25 00:00,61,120208,B,163.067847624947,-48.8946073415793,-71.6849490140024,107.656428652511,127.657450758549,162.170507853214,163.11668366004,107.333269639771,-48.8863004399127,-53.7554409854075,-71.9706059200939,-63.4155392894119
MOD03.A2022206.0005.061.2022206074728.hdf,2022-07-25 00:05,61,120208,N,-127.475823647855,-63.5079660678054,-89.5292514528095,63.3599839868606,107.783513630058,164.175427244912,-118.233223245162,63.3543758425319,-63.5043355546134,-71.4363765133612,-87.3012053982704,-70.6953910073027
MOD03.A2022206.0010.061.2022206074736.hdf,2022-07-25 00:10,61,120208,N,180,-64.1746990603266,-89.9866967252828,-180,63.6041747711375,-127.788156759594,-39.4927914350215,18.1324935890875,-71.0590548089848,-86.8309032992046,-71.9301065374597,-63.9038728592254
MOD03.A2022206.0015.061.2022206074257.hdf,2022-07-25 00:15,61,120208,N,17.6538955348476,-49.755820607328,-72.5871887451646,-39.7944135427512,17.6556528999881,-40.6099762873222,-37.7957328818902,-2.60193597457999,-64.2301747973701,-72.4215378944895,-54.2716836152258,-49.5540567791341
MOD03.A2022206.0020.061.2022206074119.hdf,2022-07-25 00:20,61,120208,N,-3.19704035442626,-33.1867875406395,-54.7442715210119,-39.1340487820134,-3.19590467974981,-38.1106803559467,-39.1472661161945,-12.9558203617914,-49.8263405625298,-54.7510352278722,-36.5210025214688,-33.0621191202717
MOD03.A2022206.0025.061.2022206074113.hdf,2022-07-25 00:25,61,120208,N,-13.4385356696816,-15.8281940149383,-36.8975637685479,-41.5239050374107,-13.4351588573127,-39.2368352091022,-41.5471820690679,-19.3439705279889,-33.2604376704946,-36.9179875812038,-18.7370592152688,-15.7611641168824
MOD03.A2022206.0030.061.2022206074116.hdf,2022-07-25 00:30,61,120208,N,-19.6821706881259,1.8991428449382,-18.9917976984169,-44.7701564358482,-19.6771892919728,-41.5493248938269,-44.7834388350014,-23.878480569268,-15.9018611372548,-19.0123423429341,-0.983200319606398,1.9252707213415
MOD03.A2022206.0035.061.2022206074117.hdf,2022-07-25 00:35,61,120209,N,-24.0632657255997,19.7955853634689,-1.10184310571781,-49.1168281399288,-24.0572556811756,-44.7627403079859,-49.1575755208411,-27.3735202976836,1.82566603602587,-1.11969453299099,16.715705258406,19.8875142604052
MOD03.A2022206.0040.061.2022206074156.hdf,2022-07-25 00:40,61,120209,N,-27.3630143640505,37.7377546699272,16.6516476501342,-55.3758172221396,-27.1857577420108,-49.1011106566164,-55.4968164903492,-29.8725532246083,19.7352304982287,16.6362939918404,34.1030184023823,37.9579363764856
MOD03.A2022206.0045.061.2022206074156.hdf,2022-07-25 00:45,61,120209,N,-29.8380569222884,55.6496245250789,34.0644383903842,-65.7854333578388,-29.4654845610959,-55.3505146951079,-66.057064116696,-31.2932819726568,37.6730263587815,34.0530576832161,50.6778484162038,55.9756305961869
MOD03.A2022206.0050.061.2022206074320.hdf,2022-07-25 00:50,61,120209,B,-29.4909452920888,73.570834075557,50.7034454170923,-87.5621299373378,-30.6780656559822,-65.7329384065485,-87.9723223290174,-29.4331750444035,55.5622022306067,50.6974214906673,64.9425171203378,73.854823237699
MOD03.A2022206.0055.061.2022206074759.hdf,2022-07-25 00:55,61,120209,D,180,89.9905723799524,65.0906866234843,-180,-28.1144008003158,-87.4274822877571,-135.319803100321,87.1487992458416,73.3167338227626,65.0872652307483,70.9617018913131,86.8357068850985
MOD03.A2022206.0100.061.2022206074549.hdf,2022-07-25 01:00,61,120209,D,-135.202617411456,88.546451129994,62.915216674696,78.7668916226908,75.7113270520921,-135.200792079491,-178.174867953945,129.469713830071,86.8060173079399,71.3221284904054,62.6390901850636,69.94295299207
MOD03.A2022206.0105.061.2022206074258.hdf,2022-07-25 01:05,61,120209,D,-178.742092756206,70.5291134382122,47.9117581012575,129.254317548469,128.401756160653,-178.740409810138,162.958371775698,130.108030012145,70.4268179834868,62.9710790539374,47.7410963235241,52.1655197161038
MOD03.A2022206.0110.061.2022206074254.hdf,2022-07-25 01:10,61,120209,D,162.432505202228,52.6149231521487,31.0856377313072,128.43334471035,129.71467085969,162.434925430014,153.40496081802,128.416592534993,52.6292043829291,47.9785212535596,30.9888433560706,34.3350410662665
MOD03.A2022206.0115.061.2022206074205.hdf,2022-07-25 01:15,61,120209,D,153.020430485628,34.6935146192098,13.5900080361903,125.819526173789,128.229385934422,153.025014010527,147.417792119832,125.795568337347,34.7207700997695,31.1559615148478,13.5457412585025,16.5101357829263
MOD03.A2022206.0120.061.2022206074202.hdf,2022-07-25 01:20,61,120209,D,147.191452066294,16.748544251241,-4.2026337644393,122.374956894816,125.717482872883,147.197441959703,143.134437072468,122.367195295339,16.7786782878725,13.6610187031443,-4.21168257894409,-1.2395214484032
MOD03.A2022206.0125.061.2022206074157.hdf,2022-07-25 01:25,61,120209,D,143.073234274868,-1.13625811080902,-22.1064514843497,117.742178660677,122.31169508843,143.192086645925,139.959618563577,117.734684536681,-1.10664599434512,-4.14476242434377,-22.2153387024463,-18.8915740964904
