# MODIS Terra GEOGRAPHIC METADATA TEXT FILE day 2022-07-24
# NFiles = 119, max geo IngestTime = 2022-07-24 15:27:38.515844
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MOD03.A2022205.0000.061.2022205070354.hdf,2022-07-24 00:00,61,120194,N,-18.2359160941129,49.2570039386799,27.9029361189399,-50.5159190110847,-17.9374516963605,-41.9956450072546,-50.715443521194,-20.147813095746,31.2679409449027,27.8900796476163,44.9038664435595,49.5503836086339
MOD03.A2022205.0005.061.2022205070420.hdf,2022-07-24 00:05,61,120194,B,-20.0508439014228,67.1671031587828,44.8965399794234,-66.7730309763141,-19.5804585932155,-50.476764627251,-67.1482232177513,-20.0668616892322,49.1811918982542,44.8884701127562,60.3195659438647,67.4928391651518
MOD03.A2022205.0010.061.2022205070618.hdf,2022-07-24 00:10,61,120194,D,-1.59526348491973,85.0961863912142,60.412430107929,-104.581150898883,-19.1101840281723,-66.6791047298887,-104.817469549163,0.282948995991139,67.0015977076802,60.4097670704698,70.4303011209873,84.9064619954937
MOD03.A2022205.0015.061.2022205070835.hdf,2022-07-24 00:15,61,120194,D,180,89.9898888456341,67.226337712169,-180,1.1807995101383,-104.366425618704,-155.480938476382,137.827166476888,84.2704139302593,70.7296481047097,66.8924199330646,76.3368096768689
MOD03.A2022205.0020.061.2022205070446.hdf,2022-07-24 00:20,61,120194,D,-155.966973217699,77.0217019138931,53.6739334836448,137.339013060006,136.036665858227,-155.945571404516,178.968198584643,141.13371029983,76.7966803094348,67.2614651891531,53.4720085212348,58.6113904679919
MOD03.A2022205.0025.061.2022205070457.hdf,2022-07-24 00:25,61,120194,D,178.410411907397,59.0977658848792,37.2882280870998,139.981380331726,140.60290761902,178.411721091711,167.096088972827,139.973006866928,59.0937403446036,53.7381768063953,37.1677662432207,40.7941888571695
MOD03.A2022205.0030.061.2022205070439.hdf,2022-07-24 00:30,61,120194,D,166.657972778513,41.1898686100016,19.8866273101068,137.658609053181,139.726945331334,166.661883393527,160.113630813106,137.634680927228,41.2138269301743,37.3580212054689,19.8257927970192,22.8717302164074
MOD03.A2022205.0035.061.2022205070440.hdf,2022-07-24 00:35,61,120194,D,159.829151622886,23.1568976656897,2.17363980214007,134.519359798227,137.513449980484,159.834679901639,155.337185375406,134.501103610025,23.1876758403742,19.9578373458018,2.15394510158031,5.0870895105288
MOD03.A2022205.0040.061.2022205070439.hdf,2022-07-24 00:40,61,120194,D,155.216407034796,5.23994748530495,-15.7068912870253,130.380535745053,134.445078142789,155.276130193014,151.789764824658,130.37342784453,5.27042381097874,2.23742941141399,-15.764974516389,-12.6083988226957
MOD03.A2022205.0045.061.2022205070439.hdf,2022-07-24 00:45,61,120194,D,151.80107407309,-12.5347113752354,-33.6189170274255,124.587348444035,130.382056685013,152.019220518438,149.198277087918,124.579877879623,-12.5149745349265,-15.6529458104085,-33.8114001276923,-30.0614283418862
MOD03.A2022205.0050.061.2022205070444.hdf,2022-07-24 00:50,61,120194,D,149.232731906153,-29.9892343196458,-51.4817796199495,115.377837450152,124.612909150058,149.675703264288,147.653228229899,115.275664536793,-29.9739157171729,-33.5605628256495,-51.791736312348,-46.8016402791041
MOD03.A2022205.0055.061.2022205070528.hdf,2022-07-24 00:55,61,120194,B,148.52502929564,-46.7616002672067,-69.3199044537679,97.4423688018135,115.423616705242,148.309960903163,148.535388276973,97.1419191522484,-46.7524899664423,-51.3990045858796,-69.6271065515463,-61.7283490485878
MOD03.A2022205.0100.061.2022205071021.hdf,2022-07-24 01:00,61,120194,N,-177.43971813111,-61.7992891960221,-87.1649994478847,56.7953384008965,97.5584318708016,149.537837489288,-172.924652803798,56.6505512329505,-61.7943583125425,-69.1089319468061,-86.4130703926204,-70.5081146321699
MOD03.A2022205.0105.061.2022205071348.hdf,2022-07-24 01:05,61,120194,N,180,-65.7801300146517,-89.9857072238505,-180,57.0321816514615,-174.372540528221,-54.4113711072571,8.67215242977289,-70.8587589374674,-85.7425527782385,-74.3383256848844,-65.5118186874466
MOD03.A2022205.0110.061.2022205070720.hdf,2022-07-24 01:10,61,120194,N,8.27114557602374,-51.9206068166209,-75.0394463164316,-54.8202102170528,8.27300100069194,-55.8042294170342,-51.6594863504232,-14.5205825444139,-65.8309249842745,-74.8192407552425,-56.7056787933207,-51.7067814632261
MOD03.A2022205.0115.061.2022205070439.hdf,2022-07-24 01:15,61,120194,N,-15.1240771923316,-35.5253099966817,-57.1947742133523,-52.7861828706998,-15.1228772966404,-52.0281289986543,-52.7962863869056,-25.754745987215,-51.9897715308275,-57.1920605254786,-38.9631999988623,-35.3914405135536
MOD03.A2022205.0120.061.2022205070438.hdf,2022-07-24 01:20,61,120194,N,-26.2553281626558,-18.1550616285647,-39.3543634007338,-55.0624386026569,-26.2522392192749,-52.9052827539398,-55.0875265091111,-32.5393447190215,-35.5989476872826,-39.3741366128344,-21.0922121579484,-18.0816928883235
MOD03.A2022205.0125.061.2022205070430.hdf,2022-07-24 01:25,61,120194,N,-32.897867796982,-0.46297289134155,-21.3650526984019,-58.1981104505446,-32.8930444651507,-55.1049296395382,-58.2133998988445,-37.2581583173787,-18.2287359366125,-21.3859299649205,-3.33147246982255,-0.432456585768164
